'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
1;44157;999;'';'';'';0;0;0;0;110729;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;44341;999;'';'';'';0;0;0;0;83961;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;44670;999;'';'';'';0;0;0;0;222019;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;44842;999;'';'';'';0;0;0;0;118075;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;46199;999;'';'';'';0;0;0;0;80369;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;46426;999;'';'';'';0;0;0;0;61139;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;46706;999;'';'';'';0;0;0;0;70473;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;46949;999;'';'';'';0;0;0;0;22926;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;47192;999;'';'';'';0;0;0;0;65919;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;48091;999;'';'';'';0;0;0;0;38212;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;48786;999;'';'';'';0;0;0;0;106213;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;49114;999;'';'';'';0;0;0;0;151734;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;49641;999;'';'';'';0;0;0;0;39866;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;49895;999;'';'';'';0;0;0;0;71696;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;50132;999;'';'';'';0;0;0;0;95266;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;50591;999;'';'';'';0;0;0;0;107002;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;50940;999;'';'';'';0;0;0;0;74834;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;51442;999;'';'';'';0;0;0;0;70517;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;51817;999;'';'';'';0;0;0;0;78493;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;52117;999;'';'';'';0;0;0;0;53845;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;52318;999;'';'';'';0;0;0;0;57976;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;52521;999;'';'';'';0;0;0;0;170297;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;52883;999;'';'';'';0;0;0;0;140202;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;52933;999;'';'';'';0;0;0;0;125808;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;52958;999;'';'';'';0;0;0;0;188654;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;53021;999;'';'';'';0;0;0;0;63179;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;53056;999;'';'';'';0;0;0;0;91898;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;53095;999;'';'';'';0;0;0;0;158050;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;53117;999;'';'';'';0;0;0;0;48685;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;53148;999;'';'';'';0;0;0;0;6605;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
1;53334;999;'';'';'';0;0;0;0;4902;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;44157;999;'';'';'';0;0;0;0;127045;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;44341;999;'';'';'';0;0;0;0;86190;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;44670;999;'';'';'';0;0;0;0;219300;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
2;44842;999;'';'';'';0;0;0;0;122319;2024-01-24 21:01:35.994 +0700;2024-01-24 21:01:35.994 +0700
